date,driver_id,distance_km,drive_seconds,litres,co2_kg,n_legs,n_stop_legs,drive_hours,stops,low_speed_share_leg_t18,low_speed_share_time_t18,service_minutes,worked_hours,worked_hours_median_driver,_T_cong,_D_stops,_V_shift,S_DOBI,service_minutes_assumed,litres_lit,distance_km_dist,fuel_cost_vnd,maint_cost_vnd,labour_other_cost_vnd,total_cost_vnd,cost_per_km_vnd,cost_per_stop_vnd,co2_g_per_km,fuel_L_per_100km
2025-03-01,D-01,84.502,18841.0,6.33765,14.6399715,36,36,5.233611111111111,36,0.5,0.5439201740884242,8.0,11.53361111111111,11.359027777777778,0.5814180855870648,0.41468954170355493,0.08431595397073459,0.3822688829371128,8.0,6.33765,84.502,158066.06983368561,34789.959731746254,3626923.076923077,3819779.106488509,45203.41656396901,106104.97518023636,173.25,7.500000000000001
2025-03-01,D-02,89.028,16425.0,8.902800000000001,23.859504,35,35,4.5625,35,0.4,0.3618873668188737,8.0,10.729166666666668,11.0625,0.3478255337203298,0.45334175511378694,0.16550646398636146,0.32478467921817644,8.0,8.902800000000001,89.028,222042.96648053091,36653.33998009403,3626923.076923077,3885619.383383702,43644.91377301188,111017.69666810577,268.0,10.0
2025-03-01,D-03,94.697,18856.0,9.469700000000001,25.378796,32,32,5.237777777777778,32,0.59375,0.6013470513364446,8.0,11.004444444444445,10.720555555555556,0.6551107951778087,0.3561182545145615,0.14021878107685787,0.41094542874854934,8.0,9.469700000000001,94.697,236181.90677996623,38987.29990671435,3626923.076923077,3902092.2836097577,41206.081328973014,121940.38386280493,268.0,10.0
2025-03-01,D-04,96.514,16454.0,10.61654,28.452327200000003,34,34,4.570555555555556,34,0.38235294117647056,0.3432599975689802,8.0,10.60388888888889,10.782499999999999,0.3239220693783039,0.4380357906240793,0.08637590566841856,0.28689233663907093,8.0,10.61654,96.514,264785.0154287657,39735.36926403823,3626923.076923077,3931443.461615881,40734.437093228764,115630.69004752592,294.80000000000007,11.000000000000002
2025-03-03,D-01,95.879,18456.0,7.190925,16.61103675,34,34,5.126666666666667,34,0.47058823529411764,0.4815236237537928,8.0,11.16,11.359027777777778,0.5013480716210393,0.39418177276854793,0.09681772979116375,0.34783907941632924,8.0,7.190925,95.879,179347.43212686025,39473.93610944238,3626923.076923077,3845744.4451593794,40110.39377923611,113110.13073998175,173.24999999999997,7.5
2025-03-03,D-02,95.549,17507.0,9.5549,25.607132000000004,34,34,4.8630555555555555,34,0.3235294117647059,0.31747301079568174,8.0,10.89638888888889,11.0625,0.2908310670711823,0.4144116898224398,0.07998295212388136,0.2646508194123693,8.0,9.5549,95.549,238306.86305710836,39338.07321020358,3626923.076923077,3904568.0131903887,40864.56177657944,114840.23568207026,268.00000000000006,10.0
2025-03-03,D-03,107.791,20382.0,10.7791,28.887988000000004,26,26,5.661666666666667,26,0.46153846153846156,0.466588166028849,8.0,10.628333333333334,10.720555555555556,0.48218223148706174,0.229415155030845,0.042193493393948636,0.2743554871222628,8.0,10.7791,107.791,268839.3921002707,44378.175066207434,3626923.076923077,3940140.6440895554,36553.52157498822,151543.87092652137,268.00000000000006,10.0
2025-03-03,D-04,117.251,19438.0,12.89761,34.5655948,30,30,5.399444444444445,30,0.4,0.35744418150015433,8.0,10.899444444444445,10.782499999999999,0.3421238417419186,0.31344274256379434,0.054837334848701326,0.24733355992051614,8.0,12.89761,117.251,321676.72922102705,48272.911511052764,3626923.076923077,3996872.7176551567,34088.175944385606,133229.09058850523,294.79999999999995,11.0
2025-03-04,D-01,97.857,19530.0,7.339275,16.95372525,32,32,5.425,32,0.46875,0.5466973886328725,8.0,11.191666666666666,11.359027777777778,0.5849819301612929,0.3427663644477543,0.08062224747833543,0.3610093556423441,8.0,7.339275,97.857,183047.40001082784,40288.29009336457,3626923.076923077,3850258.7670272696,39345.76746709249,120320.58646960217,173.25000000000003,7.5
2025-03-04,D-02,92.732,17336.0,9.273200000000001,24.852176000000004,35,35,4.815555555555555,35,0.34285714285714286,0.3398707891093678,8.0,10.982222222222223,11.0625,0.3195728871360235,0.43271048503787457,0.03608467111805668,0.2684677017011887,8.0,9.273200000000001,92.732,231281.03930979682,38178.29809761064,3626923.076923077,3896382.4143304843,42017.66827341678,111325.21183801384,268.00000000000006,10.0
2025-03-04,D-03,111.01299999999999,21116.0,11.1013,29.751484,29,29,5.865555555555556,29,0.3793103448275862,0.5094714908126539,8.0,11.232222222222223,10.720555555555556,0.5372120111132457,0.26662435197327733,0.2567126012217647,0.37188589040381087,8.0,11.1013,111.01299999999999,276875.3183032661,45704.69100968436,3626923.076923077,3949503.0862360275,35576.942216101066,136189.76159434576,268.0,10.0
2025-03-04,D-04,112.682,20028.0,12.39502,33.2186536,31,31,5.5633333333333335,31,0.2903225806451613,0.31480926702616335,8.0,11.196666666666665,10.782499999999999,0.28741283321557004,0.3179021709533864,0.2068475635743716,0.27239005364455543,8.0,12.39502,112.682,309141.73185801203,46391.82791522842,3626923.076923077,3982456.6366963172,35342.43833705754,128466.34311923604,294.8,11.0
2025-03-05,D-01,103.106,19519.0,7.73295,17.8631145,32,32,5.421944444444445,32,0.4375,0.4707208361084072,8.0,11.188611111111111,11.359027777777778,0.48748545657262454,0.34298068680619404,0.08218496945588886,0.3225438795076747,8.0,7.73295,103.106,192865.96999209476,42449.33360277188,3626923.076923077,3862238.3805179438,37458.910058754525,120694.94939118574,173.25,7.5
2025-03-05,D-02,98.17699999999999,18122.0,9.8177,26.311436000000004,35,35,5.033888888888889,35,0.42857142857142855,0.45353713718132654,8.0,11.200555555555557,11.0625,0.4654345738603527,0.41565922174546444,0.06563432305725353,0.3305618929849565,8.0,9.8177,98.17699999999999,244861.30565843423,40420.03593505068,3626923.076923077,3912204.418516562,39848.48201224892,111777.26910047319,268.00000000000006,10.0
2025-03-05,D-03,89.252,17657.0,8.9252,23.919536000000004,33,33,4.904722222222222,33,0.48484848484848486,0.4220988842951804,8.0,10.804722222222223,10.720555555555556,0.4250916168513331,0.3962746606099448,0.03807358999857979,0.30034112192309065,8.0,8.9252,89.252,222601.6404313288,36745.5620692743,3626923.076923077,3886270.27942368,43542.668841299695,117765.76604314182,268.00000000000006,10.0
2025-03-05,D-04,102.44,18678.0,11.2684,30.199312000000003,34,34,5.1883333333333335,34,0.29411764705882354,0.3191455187921619,8.0,11.221666666666668,10.782499999999999,0.2929773033281269,0.38958655502981615,0.21963347066344782,0.29995692903922994,8.0,11.2684,102.44,281042.9262130132,42175.137569762686,3626923.076923077,3950141.140705853,38560.53436846791,116180.62178546625,294.8,11.0
2025-03-06,D-01,101.515,18610.0,7.613625,17.58747375,31,31,5.169444444444444,31,0.5483870967741935,0.5145620634067706,8.0,10.802777777777777,11.359027777777778,0.5437444590854498,0.3456104463237147,0.2795141355306155,0.40503515819047897,8.0,7.613625,101.515,189889.90886803385,41794.30974613881,3626923.076923077,3858607.2955372497,38010.21815039403,124471.20308184676,173.25,7.5
2025-03-06,D-02,112.316,19147.0,11.2316,30.100688000000005,29,29,5.318611111111111,29,0.41379310344827586,0.3818352744555283,8.0,10.685277777777777,11.0625,0.37342357134410886,0.30289772750996574,0.18795283420940523,0.29662459705345484,8.0,11.2316,112.316,280125.1047224166,46241.14360879995,3626923.076923077,3953289.3252542936,35197.917707666704,136320.32156049288,268.00000000000006,10.0
2025-03-06,D-03,96.55,19737.0,9.655000000000001,25.875400000000003,32,32,5.4825,32,0.46875,0.5976592187262502,8.0,11.249166666666667,10.720555555555556,0.6503784052136355,0.3387549182866496,0.26537860491547116,0.44139141904609047,8.0,9.655000000000001,96.55,240803.43727473667,39750.190671227916,3626923.076923077,3907476.7048690417,40471.01714002115,122108.64702715755,268.0,10.000000000000002
2025-03-06,D-04,104.609,19454.0,11.50699,30.8387332,33,33,5.403888888888889,33,0.2727272727272727,0.3766320551043487,8.0,11.303888888888888,10.782499999999999,0.3667465700694726,0.35925637577124286,0.261684898423072,0.3329810102860835,8.0,11.50699,104.609,286993.5520130525,43068.12735294129,3626923.076923077,3956984.756289071,37826.42751856027,119908.62897845669,294.8,11.0
2025-03-07,D-01,89.798,20742.0,6.73485,15.557503500000001,35,35,5.761666666666667,35,0.7428571428571429,0.7711888921029795,8.0,11.928333333333335,11.359027777777778,0.8730593594695761,0.3633298204189678,0.2861912203437998,0.5440800560166608,8.0,6.73485,89.798,167972.5561397991,36970.35341165121,3626923.076923077,3831865.9864745275,42672.063815168796,109481.88532784364,173.25,7.5
2025-03-07,D-02,104.867,18799.0,10.4867,28.104356000000003,33,33,5.2219444444444445,33,0.3333333333333333,0.2965051332517687,8.0,11.121944444444445,11.0625,0.2639241589364355,0.372364555891313,0.02542974854382801,0.2249079549051165,8.0,10.4867,104.867,261546.70177824763,43174.3474378007,3626923.076923077,3931644.1261391253,37491.71928384645,119140.73109512501,268.0,10.0
2025-03-07,D-03,104.112,20346.0,10.411200000000001,27.902016000000003,30,30,5.651666666666666,30,0.43333333333333335,0.46584095153838595,8.0,11.151666666666667,10.720555555555556,0.4812233727942954,0.2963560217428227,0.21551356726807808,0.3460502258209884,8.0,10.411200000000001,104.112,259663.6712744421,42863.509592572555,3626923.076923077,3929450.2577900914,37742.52975439999,130981.67525966972,268.00000000000006,10.000000000000002
2025-03-07,D-04,148.177,21560.0,16.29947,43.682579600000004,23,23,5.988888888888889,23,0.08695652173913043,0.16767161410018552,8.0,10.555555555555555,10.782499999999999,0.09859928724983467,0.15603667863445037,0.11109532604063072,0.11957931630245819,8.0,16.29947,148.177,406521.8437862715,61005.323698503766,3626923.076923077,4094450.244407852,27632.15778702398,178019.57584381965,294.80000000000007,11.0
2025-03-08,D-01,87.039,18464.0,6.527925,15.079506749999998,35,35,5.128888888888889,35,0.6571428571428571,0.6493717504332756,8.0,11.295555555555556,11.359027777777778,0.716738213789494,0.40844577629581835,0.027489700241511976,0.41747592847699666,8.0,6.527925,87.039,162811.68081529625,35834.45723286387,3626923.076923077,3825569.214971237,43952.35716140163,109301.97757060677,173.24999999999997,7.5
2025-03-08,D-02,96.035,17221.0,9.6035,25.73738,35,35,4.783611111111111,35,0.34285714285714286,0.32506823064862667,8.0,10.950277777777778,11.0625,0.3005775892176606,0.43526228298184144,0.052422219065208525,0.2665363863011792,8.0,9.6035,96.035,239518.98600392888,39538.16220726435,3626923.076923077,3905980.2251342703,40672.46550876524,111599.43500383629,268.0,10.0
2025-03-08,D-03,92.25,17928.0,9.225,24.723000000000003,32,32,4.98,32,0.53125,0.5301204819277109,8.0,10.746666666666666,10.720555555555556,0.5637097100741656,0.3752630978053092,0.008381872425060314,0.34057737509877706,8.0,9.225,92.25,230078.8926835262,37979.855923570954,3626923.076923077,3894981.825530174,42222.02520899918,121718.18204781794,268.00000000000006,10.0
2025-03-08,D-04,107.507,17666.0,11.82577,31.693063600000002,30,30,4.907222222222222,30,0.4,0.37014604324691497,8.0,10.407222222222222,10.782499999999999,0.35842343269692,0.3491734441710635,0.18695837476914323,0.30420891876083,8.0,11.82577,107.507,294944.1806753457,44261.25063171103,3626923.076923077,3966128.508230134,36891.81642339693,132204.28360767112,294.8,11.0
2025-03-10,D-01,84.575,17058.0,6.343125,14.65261875,35,35,4.738333333333333,35,0.5428571428571428,0.5607339664673467,8.0,10.905000000000001,11.359027777777778,0.602994287851166,0.43890479173941727,0.22723398209972961,0.4410393472922105,8.0,6.343125,84.575,158202.62072121326,34820.0142518809,3626923.076923077,3819945.7118961713,45166.36963518973,109141.30605417633,173.25,7.5
2025-03-10,D-02,108.692,20691.0,10.869200000000001,29.129456000000005,33,33,5.7475,33,0.3333333333333333,0.42346914117249046,8.0,11.6475,11.0625,0.42684999109982685,0.3356179363111918,0.2942179286830522,0.359690755938204,8.0,10.869200000000001,108.692,271086.55830414995,44749.12195170486,3626923.076923077,3942758.757178932,36274.59939258577,119477.53809633128,268.00000000000006,10.000000000000002
2025-03-10,D-03,97.786,18897.0,9.7786,26.206648000000005,32,32,5.2491666666666665,32,0.4375,0.4263110546647616,8.0,11.015833333333333,10.720555555555556,0.43049686022634154,0.3552930832076053,0.14604347208410276,0.322599710678049,8.0,9.7786,97.786,243886.1203246753,40259.05898474048,3626923.076923077,3911068.2562324926,39996.198394785475,122220.8830072654,268.00000000000006,10.0
2025-03-10,D-04,113.283,18572.0,12.46113,33.3958284,31,31,5.158888888888889,31,0.12903225806451613,0.090835666594874,8.0,10.792222222222222,10.782499999999999,0.0,0.34638080810852245,9.084933402245906e-16,0.10391424243255701,8.0,12.46113,113.283,310790.56823690725,46639.26307414513,3626923.076923077,3984352.908234129,35171.675434391116,128527.51316884288,294.8,11.0
2025-03-11,D-01,86.896,17793.0,6.5172,15.054732,34,34,4.9425,34,0.6470588235294118,0.58399370538976,8.0,10.975833333333334,11.359027777777778,0.6328422139043802,0.4082127044195924,0.1910072453473503,0.43290287049183496,8.0,6.5172,86.896,162544.19072055037,35775.5833098604,3626923.076923077,3825242.8509534877,44020.931354187625,112507.14267510257,173.25,7.5
2025-03-11,D-02,101.829,20489.0,10.1829,27.290172000000002,31,31,5.691388888888889,31,0.4838709677419355,0.5421445653765435,8.0,11.32472222222222,11.0625,0.5791395459306894,0.3093092251281478,0.12913766159965862,0.3631898843906177,8.0,10.1829,101.829,253969.6863205506,41923.58535329329,3626923.076923077,3922816.3485969207,38523.567437536665,126542.46285796519,268.00000000000006,10.0
2025-03-11,D-03,99.993,19811.0,9.9993,26.798124000000005,32,32,5.503055555555555,32,0.25,0.35490384130028774,8.0,11.26972222222222,10.720555555555556,0.33886396480656056,0.3373308071028461,0.27589146185537633,0.3195122666100909,8.0,9.9993,99.993,249390.5551881175,41167.693586619294,3626923.076923077,3917481.3256978136,39177.55568587615,122421.29142805668,268.00000000000006,10.0
2025-03-11,D-04,106.246,19515.0,11.68706,31.321320800000002,34,34,5.420833333333333,34,0.29411764705882354,0.4166026133743274,8.0,11.454166666666666,10.782499999999999,0.4180385588371707,0.3727062894668798,0.33854240659184565,0.3805900323524859,8.0,11.68706,106.246,291484.6421166322,43742.08967431674,3626923.076923077,3962149.808714026,37292.22567168671,116533.81790335372,294.8,11.000000000000002
2025-03-12,D-01,74.779,17443.0,5.6084249999999995,12.95546175,37,37,4.845277777777778,37,0.7297297297297297,0.7351373043627817,8.0,11.278611111111111,11.359027777777778,0.8267963670705736,0.45839474601458435,0.03615570393521845,0.47908368181317024,8.0,5.6084249999999995,74.779,139878.61395106834,30786.94467326517,3626923.076923077,3797588.6355474107,50784.15912953384,102637.53069047056,173.25,7.5
2025-03-12,D-02,89.784,18620.0,8.9784,24.062112000000003,34,34,5.1722222222222225,34,0.5,0.65343716433942,8.0,11.205555555555556,11.0625,0.721955132777754,0.3907822266338547,0.06819150447506805,0.42647417244377844,8.0,8.9784,89.784,223928.49106447393,36964.58953107744,3626923.076923077,3887816.1575186285,43301.88182213566,114347.53404466555,268.0,10.0
2025-03-12,D-03,175.473,20931.0,17.547300000000003,47.02676400000001,15,15,5.814166666666667,15,0.6666666666666666,0.3230137117194592,8.0,9.314166666666667,10.720555555555556,0.2979411396307898,0.0,0.7143060093763317,0.3334682586652154,8.0,17.547300000000003,175.473,437643.72396592307,72243.24399432809,3626923.076923077,4136810.044883328,23575.19416026014,275787.3363255552,268.00000000000006,10.0
2025-03-12,D-04,104.28,18903.0,11.4708,30.741744,33,33,5.2508333333333335,33,0.3333333333333333,0.3538062741363805,8.0,11.150833333333335,10.782499999999999,0.3374555180627679,0.3702546893014769,0.18340673391106851,0.30108063418887077,8.0,11.4708,104.28,286090.9444112946,42932.67615945776,3626923.076923077,3955946.6974938293,37935.81413016714,119877.17265132816,294.8,11.0
2025-03-13,D-01,95.914,20422.0,7.19355,16.6171005,34,34,5.672777777777778,34,0.5588235294117647,0.5520027421408286,8.0,11.706111111111111,11.359027777777778,0.5917899945045707,0.35517128721932034,0.17253871288535363,0.3950289978332304,8.0,7.19355,95.914,179412.9017304694,39488.34581087679,3626923.076923077,3845824.324464423,40096.589908297254,113112.48013130657,173.25,7.5
