driver_id,date,resequencer,dep_shift_min,service_minutes_assumed,distance_km,worked_hours,stops,E_co2_g_per_km,C_stops_per_hour,Ec_cost_per_km_vnd,low_speed_share_time_t,low_speed_share_value,driver_median_hours,V_abs_dev,C_scaled,W_scaled,V_scaled,S_DOBI,shift_min,service_min,driver_digits,km_day,E_g_per_km,daily_fixed_vnd,fuel_cost_vnd,E_bau_gkm,Ec_bau_vndkm,dE_gkm,dEc_vndkm,_S_raw,_S_used,on_frontier
DRV-01,2025-03-01,BAU,60,8,51.2405873625687,9.468264657537754,36,264.4201196965837,3.8021750872098976,6081.2505380351095,12,0.0,10.065966533570986,0.5977018760332324,0.0,0.5673680038916279,0.1662439763944871,0.2445373267620383,0,10,1,253.506,264.4201196965837,941346.153846154,600287.3450489744,271.19527585584365,6141.923578267288,-6.77515615925995,-60.67304023217821,9.468264657537754,0.3000294345394957,True
DRV-01,2025-03-01,BAU,60,8,51.2405873625687,9.468264657537754,36,264.4201196965837,3.8021750872098976,6081.2505380351095,15,0.2672314597016369,10.065966533570986,0.5977018760332324,0.2672314597016369,0.5673680038916279,0.1662439763944871,0.3336144799959173,0,10,1,253.506,264.4201196965837,941346.153846154,600287.3450489744,271.19527585584365,6141.923578267288,-6.77515615925995,-60.67304023217821,9.468264657537754,0.3000294345394957,True
DRV-01,2025-03-01,BAU,60,8,51.2405873625687,9.468264657537754,36,264.4201196965837,3.8021750872098976,6081.2505380351095,18,0.6630171264712958,10.065966533570986,0.5977018760332324,0.6630171264712958,0.5673680038916279,0.1662439763944871,0.4655430355858036,0,10,1,253.506,264.4201196965837,941346.153846154,600287.3450489744,271.19527585584365,6141.923578267288,-6.77515615925995,-60.67304023217821,9.468264657537754,0.3000294345394957,True
DRV-01,2025-03-01,NN,60,8,19.937020386356853,7.674594738895978,36,271.0977422120828,4.690801433142351,6141.050142651519,12,0.0,10.065966533570986,2.391371794675008,0.0,1.0,0.666532796166983,0.555510932055661,0,10,1,253.506,271.0977422120828,941346.153846154,615446.9036168619,271.19527585584365,6141.923578267288,-0.0975336437608689,-0.8734356157683578,7.674594738895978,0.0,True
DRV-01,2025-03-01,NN,60,8,19.937020386356853,7.674594738895978,36,271.0977422120828,4.690801433142351,6141.050142651519,15,0.3924065493518935,10.065966533570986,2.391371794675008,0.3924065493518935,1.0,0.666532796166983,0.6863131151729589,0,10,1,253.506,271.0977422120828,941346.153846154,615446.9036168619,271.19527585584365,6141.923578267288,-0.0975336437608689,-0.8734356157683578,7.674594738895978,0.0,True
DRV-01,2025-03-01,NN,60,8,19.937020386356853,7.674594738895978,36,271.0977422120828,4.690801433142351,6141.050142651519,18,0.7374470970569312,10.065966533570986,2.391371794675008,0.7374470970569312,1.0,0.666532796166983,0.8013266310746382,0,10,1,253.506,271.0977422120828,941346.153846154,615446.9036168619,271.19527585584365,6141.923578267288,-0.0975336437608689,-0.8734356157683578,7.674594738895978,0.0,True
DRV-01,2025-03-01,BAU,60,10,51.2405873625687,10.612623304636532,36,261.5257955249769,3.392186735231808,6055.331217095346,12,0.0,10.065966533570986,0.5466567710655461,0.0,0.3677632094700303,0.1520065210778564,0.1732565768492956,0,10,1,253.506,261.5257955249769,941346.153846154,593716.6416748188,271.19527585584365,6141.923578267288,-9.669480330866747,-86.59236117194177,10.612623304636532,0.49144775194062484,True
DRV-01,2025-03-01,BAU,60,10,51.2405873625687,10.612623304636532,36,261.5257955249769,3.392186735231808,6055.331217095346,15,0.2550828137835876,10.065966533570986,0.5466567710655461,0.2550828137835876,0.3677632094700303,0.1520065210778564,0.2582841814438248,0,10,1,253.506,261.5257955249769,941346.153846154,593716.6416748188,271.19527585584365,6141.923578267288,-9.669480330866747,-86.59236117194177,10.612623304636532,0.49144775194062484,True
DRV-01,2025-03-01,BAU,60,10,51.2405873625687,10.612623304636532,36,261.5257955249769,3.392186735231808,6055.331217095346,18,0.5987129008928928,10.065966533570986,0.5466567710655461,0.5987129008928928,0.3677632094700303,0.1520065210778564,0.3728275438135932,0,10,1,253.506,261.5257955249769,941346.153846154,593716.6416748188,271.19527585584365,6141.923578267288,-9.669480330866747,-86.59236117194177,10.612623304636532,0.49144775194062484,True
DRV-01,2025-03-01,NN,60,10,19.937020386356853,8.860492095665853,36,264.43695548003205,4.0629797545454105,6081.401306245095,12,0.0,10.065966533570986,1.2054744379051332,0.0,0.6943420063395809,0.3357633592579991,0.3433684551991933,0,10,1,253.506,264.43695548003205,941346.153846154,600325.5656948149,271.19527585584365,6141.923578267288,-6.758320375811593,-60.52227202219274,8.860492095665853,0.19836654987388896,True
DRV-01,2025-03-01,NN,60,10,19.937020386356853,8.860492095665853,36,264.43695548003205,4.0629797545454105,6081.401306245095,15,0.2973308679152766,10.065966533570986,1.2054744379051332,0.2973308679152766,0.6943420063395809,0.3357633592579991,0.4424787445042855,0,10,1,253.506,264.43695548003205,941346.153846154,600325.5656948149,271.19527585584365,6141.923578267288,-6.758320375811593,-60.52227202219274,8.860492095665853,0.19836654987388896,True
DRV-01,2025-03-01,NN,60,10,19.937020386356853,8.860492095665853,36,264.43695548003205,4.0629797545454105,6081.401306245095,18,0.6941639609877917,10.065966533570986,1.2054744379051332,0.6941639609877917,0.6943420063395809,0.3357633592579991,0.5747564421951239,0,10,1,253.506,264.43695548003205,941346.153846154,600325.5656948149,271.19527585584365,6141.923578267288,-6.758320375811593,-60.52227202219274,8.860492095665853,0.19836654987388896,True
